PlantID,PlantName,Accession,ClonalGroup,Replicate,AccessionID,ExperimentID,User,GrowthLocation,TrayPosition,PlantingDate,IntoChamberDate,EmergenceDate,EarEmergenceDate,variable,value,measurement_date,ploidy
28085,BdTR2m_R2S,BdTR2m,Clone1,2,671,BVZ0049,SRE,NCRIS-2,5B4,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1.3,2015-10-12,dis
28086,BdTR11i_R2S,BdTR11i,Clone6,2,750,BVZ0049,SRE,NCRIS-2,5B5,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1,2015-10-12,dis
28087,BdTR10i_R1S,BdTR10i,Clone5,1,736,BVZ0049,SRE,NCRIS-2,5C1,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1.4,2015-10-12,dis
28088,SLK7_R2S,SLK7,HYB1,2,548,BVZ0049,SRE,NCRIS-2,5C2,2015-09-24,2015-10-02,2015-10-08,2015-11-11,Growth Stage,0,2015-10-12,hyb
28089,BdTR9j_R3S,BdTR9j,Clone4,3,725,BVZ0049,SRE,NCRIS-2,5C3,2015-09-24,2015-10-02,2015-10-07,2015-12-03,Growth Stage,0,2015-10-12,dis
28090,BdTR3t_R2S,BdTR3t,Clone2,2,694,BVZ0049,SRE,NCRIS-2,5C4,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1,2015-10-12,dis
28091,BdTR5b_R2S,BdTR5b,Clone3,2,696,BVZ0049,SRE,NCRIS-2,5C5,2015-09-24,2015-10-02,2015-10-07,2015-11-27,Growth Stage,0,2015-10-12,dis
28092,GWW10_R3S,GWW10,HYB1,3,397,BVZ0049,SRE,NCRIS-2,5D1,2015-09-24,2015-10-02,2015-10-07,2015-11-11,Growth Stage,0,2015-10-12,hyb
28093,BdTR11f_R1S,BdTR11f,Clone6,1,747,BVZ0049,SRE,NCRIS-2,5D2,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,0,2015-10-12,dis
28094,BdTR3s_R3S,BdTR3s,Clone2,3,693,BVZ0049,SRE,NCRIS-2,5D3,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1.2,2015-10-12,dis
28095,BdTR10g_R1S,BdTR10g,Clone5,1,734,BVZ0049,SRE,NCRIS-2,5D4,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1.4,2015-10-12,dis
28096,BdTR10f_R3S,BdTR10f,Clone4,3,733,BVZ0049,SRE,NCRIS-2,6A1,2015-09-24,2015-10-02,2015-10-08,2015-11-23,Growth Stage,1.3,2015-10-12,dis
28097,BdTR11c_R2S,BdTR11c,Clone6,2,744,BVZ0049,SRE,NCRIS-2,6A2,2015-09-24,2015-10-02,2015-10-07,NA,Growth Stage,0,2015-10-12,dis
28098,BdTR5h_R1S,BdTR5h,Clone3,1,702,BVZ0049,SRE,NCRIS-2,6A3,2015-09-24,2015-10-02,2015-10-09,2015-12-01,Growth Stage,0,2015-10-12,dis
28099,BdTR2j_R1S,BdTR2j,Clone1,1,669,BVZ0049,SRE,NCRIS-2,6A4,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1.2,2015-10-12,dis
28100,BdTR10a_R1S,BdTR10a,Clone5,1,728,BVZ0049,SRE,NCRIS-2,6A5,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1.3,2015-10-12,dis
28101,BdTR2d_R1S,BdTR2d,Clone1,1,663,BVZ0049,SRE,NCRIS-2,6B1,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1.2,2015-10-12,dis
28102,BdTR5f_R3S,BdTR5f,Clone3,3,700,BVZ0049,SRE,NCRIS-2,6B2,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,0,2015-10-12,dis
28103,BdTR1a_R3S,BdTR1a,Clone1,3,647,BVZ0049,SRE,NCRIS-2,6B3,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1.4,2015-10-12,dis
28104,BdTR13k_R3S,BdTR13k,Clone7,3,764,BVZ0049,SRE,NCRIS-2,6B4,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.1,2015-10-12,dis
28105,BdTR5e_R1S,BdTR5e,Clone3,1,699,BVZ0049,SRE,NCRIS-2,6B5,2015-09-24,2015-10-02,2015-10-08,2015-11-30,Growth Stage,0,2015-10-12,dis
28106,BdTR11d_R3S,BdTR11d,Clone6,3,745,BVZ0049,SRE,NCRIS-2,6C1,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,0,2015-10-12,dis
28107,BdTR13m_R3S,BdTR13m,Clone7,3,765,BVZ0049,SRE,NCRIS-2,6C2,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1.3,2015-10-12,dis
28108,BdTR2r_R1S,BdTR2r,Clone1,1,675,BVZ0049,SRE,NCRIS-2,6C3,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1.2,2015-10-12,dis
28109,BdTR3p_R2S,BdTR3p,Clone2,2,691,BVZ0049,SRE,NCRIS-2,6C4,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1.2,2015-10-12,dis
28110,BdTR3b_R2S,BdTR3b,Clone2,2,678,BVZ0049,SRE,NCRIS-2,6C5,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1.4,2015-10-12,dis
28111,BdTR13a_R3S,BdTR13a,Clone7,3,754,BVZ0049,SRE,NCRIS-2,6D1,2015-09-24,2015-10-02,2015-10-08,2015-11-20,Growth Stage,1.2,2015-10-12,dis
28112,BdTR3b_R3S,BdTR3b,Clone2,3,678,BVZ0049,SRE,NCRIS-2,6D2,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,0,2015-10-12,dis
28113,BdTR10o_R2S,BdTR10o,Clone5,2,741,BVZ0049,SRE,NCRIS-2,6D3,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.2,2015-10-12,dis
28114,BdTR3f_R1S,BdTR3f,Clone2,1,682,BVZ0049,SRE,NCRIS-2,6D4,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1.3,2015-10-12,dis
28115,BdTR5i_R2S,BdTR5i,Clone3,2,703,BVZ0049,SRE,NCRIS-2,7A2,2015-09-24,2015-10-02,2015-10-08,2015-11-25,Growth Stage,0,2015-10-12,dis
28116,BdTR10b_R2S,BdTR10b,Clone5,2,729,BVZ0049,SRE,NCRIS-2,7A3,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1,2015-10-12,dis
28117,BdTR9g_R1S,BdTR9g,Clone4,1,722,BVZ0049,SRE,NCRIS-2,7A4,2015-09-24,2015-10-02,2015-10-07,2015-12-01,Growth Stage,0,2015-10-12,dis
28118,BdTR13f_R1S,BdTR13f,Clone7,1,759,BVZ0049,SRE,NCRIS-2,7A5,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.3,2015-10-12,dis
28119,BdTR3d_R3S,BdTR3d,Clone2,3,680,BVZ0049,SRE,NCRIS-2,7B1,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1.2,2015-10-12,dis
28120,BdTR13f_R3S,BdTR13f,Clone7,3,759,BVZ0049,SRE,NCRIS-2,7B2,2015-09-24,2015-10-02,2015-10-08,2015-11-20,Growth Stage,0,2015-10-12,dis
28121,BdTR1g_R1S,BdTR1g,Clone1,1,653,BVZ0049,SRE,NCRIS-2,7B3,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.2,2015-10-12,dis
28122,BdTR2p_R1S,BdTR2p,Clone1,1,674,BVZ0049,SRE,NCRIS-2,7B4,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,0,2015-10-12,dis
