SampleID	PlantID	AccessionID	PlantName	Accession	ClonalGroup	Replicate	BRF_Sequencing_Batch	LIBRARY SET	prep_set	index d5	index d7	output well	SRA_run_ID
S60451	28452	764	BdTR13k_R1F	BdTR13k	Clone7	1	SN877_0399	L5t	L5t.2	504	709	D9	SRR5051203
S60452	28453	735	BdTR10h_R1F	BdTR10h	Clone5	1	SN877_0399	L5t	L5t.2	505	709	E9	SRR5051276
S60453	28454	725	BdTR9j_R1F	BdTR9j	Clone4	1	SN877_0399	L5t	L5t.2	506	709	F9	SRR5051239
S60454	28455	728	BdTR10a_R3F	BdTR10a	Clone5	3	SN877_0399	L5t	L5t.2	507	709	G9	SRR5051249
S60455	28456	659	BdTR1n_R2F	BdTR1n	Clone1	2	SN877_0399	L5t	L5t.2	508	709	H9	SRR5051241
S60456	28457	666	BdTR2g_R2F	BdTR2g	Clone1	2	SN877_0399	L5t	L5t.3	501	710	A10	SRR5051260
S60457	28458	671	BdTR2m_R1F	BdTR2m	Clone1	1	SN877_0399	L5t	L5t.3	502	710	B10	SRR5051270
S60458	28459	689	BdTR3n_R3F	BdTR3n	Clone2	3	SN877_0399	L5t	L5t.3	503	710	C10	SRR5051230
S60459	28460	657	BdTR1k_R2F	BdTR1k	Clone1	2	SN877_0399	L5t	L5t.3	504	710	D10	SRR5051240
S60460	28461	740	BdTR10n_R3F	BdTR10n	Clone6	3	SN877_0399	L5t	L5t.3	505	710	E10	SRR5051224
S60461	28462	744	BdTR11c_R1F	BdTR11c	Clone6	1	SN877_0399	L5t	L5t.3	506	710	F10	SRR5051210
S60462	28463	734	BdTR10g_R2F	BdTR10g	Clone5	2	SN877_0399	L5t	L5t.3	507	710	G10	SRR5051234
S60463	28464	744	BdTR11c_R3F	BdTR11c	Clone6	3	SN877_0399	L5t	L5t.3	508	710	H10	SRR5051257
S60464	28465	730	BdTR10c_R2F	BdTR10c	Clone5	2	SN877_0399	L5t	L5t.3	501	711	A11	SRR5051255
S60465	28466	686	BdTR3j_R1F	BdTR3j	Clone2	1	SN877_0399	L5t	L5t.3	502	711	B11	SRR5051227
S60466	28467	342	ELI1_R1F	ELI1	HYB1	1	SN877_0399	L5t	L5t.3	503	711	C11	SRR5051226
S60467	28468	681	BdTR3e_R3F	BdTR3e	Clone2	3	SN877_0399	L5t	L5t.3	504	711	D11	SRR5051242
S60468	28469	4741	Bd21_R7F	Bd21	Bd21	7	SN877_0399	L5t	L5t.3	505	711	E11	SRR5051202
S60469	28470	765	BdTR13m_R2F	BdTR13m	Clone7	2		L5t	L5t.3	506	711	F11	
S60470	28471	763	BdTR13j_R3F	BdTR13j	Clone7	3	SN877_0399	L5t	L5t.3	507	711	G11	SRR5051213
S60471	28472	684	BdTR3h_R3F	BdTR3h	Clone2	3	SN877_0399	L5t	L5t.3	508	711	H11	SRR5051254
S60472	28473	717	BdTR9a_R1F	BdTR9a	Clone4	1	SN877_0399	L5t	L5t.3	501	712	A12	SRR5051272
S60473	28474	691	BdTR3p_R1F	BdTR3p	Clone2	1	SN877_0399	L5t	L5t.3	502	712	B12	SRR5051236
S60474	28475	717	BdTR9a_R2F	BdTR9a	Clone4	2	SN877_0399	L5t	L5t.3	503	712	C12	SRR5051205
S60475	28476	278	BRO1-1_R1F	BRO1-1	HYB1	1	SN877_0399	L5t	L5t.3	504	712	D12	SRR5051268
S60476	28477	654	BdTR1h_R2F	BdTR1h	Clone1	2		L5t	L5t.3	505	712	E12	
S60477	28478	674	BdTR2p_R3F	BdTR2p	Clone1	3		L5t	L5t.3	506	712	F12	
S60478	28479	728	BdTR10a_R2F	BdTR10a	Clone5	2	SN877_0399	L5t	L5t.3	507	712	G12	SRR5051216
S60479	28480	653	BdTR1g_R3F	BdTR1g	Clone1	3	SN877_0399	L5t	L5t.3	508	712	H12	SRR5051198
S60166	28167	4741	Bd21_R7S	Bd21	Bd21	7		Sp1_2500	SP-1bs-H	508	712	H12	
S60005	28006	749	BdTR11h_R1S	BdTR11h	Clone6	1	SN877_0423	Sp1_2500	SP-1bs-E	505	704	E4	SRR5046527
S60006	28007	662	BdTR2c_R1S	BdTR2c	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-A	501	711	A11	SRR5046482
S60007	28008	749	BdTR11h_R2S	BdTR11h	Clone6	2	SN877_0423	Sp1_2500	SP-1bs-B	502	712	B12	SRR5046521
S60009	28010	661	BdTR2b_R1S	BdTR2b	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-F	506	701	F1	SRR5046473
S60011	28012	745	BdTR11d_R2S	BdTR11d	Clone6	2	SN877_0423	Sp1_2500	SP-1bs-H	508	706	H6	SRR5046538
S60019	28020	666	BdTR2g_R1S	BdTR2g	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-F	506	710	F10	SRR5046484
S60020	28021	672	BdTR2n_R1S	BdTR2n	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-D	504	704	D4	SRR5046478
S60025	28026	4741	Bd21_R16S	Bd21	Bd21	16	SN877_0423	Sp1_2500	SP-1bs-E	505	707	E7	SRR5046491
S60031	28032	747	BdTR11f_R3S	BdTR11f	Clone6	3	SN877_0423	Sp1_2500	SP-1bs-C	503	709	C9	SRR5046470
S60033	28034	652	BdTR1f_R1S	BdTR1f	Clone1	1	SN877_0423	Sp1_2500	SP-1bs-B	502	702	B2	SRR5046506
S60039	28040	4741	Bd21_R11S	Bd21	Bd21	11	SN877_0423	Sp1_2500	SP-1bs-A	501	701	A1	SRR5046537
S60043	28044	740	BdTR10n_R2S	BdTR10n	Clone6	2	SN877_0423	Sp1_2500	SP-1bs-F	506	705	F5	SRR5046544
S60044	28045	663	BdTR2d_R2S	BdTR2d	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-B	502	710	B10	SRR5046497
S60045	28046	656	BdTR1j_R3S	BdTR1j	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-G	507	711	G11	SRR5046525
S60047	28048	4741	Bd21_R2S	Bd21	Bd21	2	SN877_0423	Sp1_2500	SP-1bs-C	503	710	C10	SRR5046536
S60050	28051	661	BdTR2b_R2S	BdTR2b	Clone1	2	SN877_0423	Sp1_2500	SP-1bs-G	507	706	G6	SRR5046548
S60055	28056	748	BdTR11g_R3S	BdTR11g	Clone6	3	SN877_0423	Sp1_2500	SP-1bs-C	503	703	C3	SRR5046493
S60056	28057	659	BdTR1n_R3S	BdTR1n	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-C	503	702	C2	SRR5046513
S60059	28060	661	BdTR2b_R3S	BdTR2b	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-B	502	711	B11	SRR5046475
S60061	28062	750	BdTR11i_R3S	BdTR11i	Clone6	3	SN877_0423	Sp1_2500	SP-1bs-C	503	706	C6	SRR5046494
S60068	28069	740	BdTR10n_R1S	BdTR10n	Clone6	1	SN877_0423	Sp1_2500	SP-1bs-G	507	702	G2	SRR5046526
S60070	28071	667	BdTR2h_R3S	BdTR2h	Clone1	3	SN877_0423	Sp1_2500	SP-1bs-C	503	705	C5	SRR5046550
